drug_name,target,ChemicalStructure
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Porin,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Outer membrane protein A,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Outer membrane protein X,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Colipase,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Pancreatic triacylglycerol lipase,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Rhodopsin,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,"Apocarotenoid-15,15'-oxygenase",CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Outer membrane protein G,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Outer membrane protein W,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Adhesin,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Porin P,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Porin D,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Porin,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Vanillate porin OpdK,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Outer membrane usher protein PapC,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Membrane protein,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,TbuX,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Membrane protein involved in aromatic hydrocarbon degradation,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Probable outer membrane protein,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Hypothetical conserved protein,CCCCCCCCOCCOCCOCCOCCO
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,Esterase EstA,CCCCCCCCOCCOCCOCCOCCO
(METHYLPYRIDAZINE PIPERIDINE BUTYLOXYPHENYL)ETHYLACETATE,Genome polyprotein,CCOC(=O)C1=CC=C(OCCCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
(METHYLPYRIDAZINE PIPERIDINE BUTYLOXYPHENYL)ETHYLACETATE,Genome polyprotein,CCOC(=O)C1=CC=C(OCCCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
(METHYLPYRIDAZINE PIPERIDINE ETHYLOXYPHENYL)ETHYLACETATE,Genome polyprotein,CCOC(=O)C1=CC=C(OCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
(METHYLPYRIDAZINE PIPERIDINE ETHYLOXYPHENYL)ETHYLACETATE,Genome polyprotein,CCOC(=O)C1=CC=C(OCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
(METHYLPYRIDAZINE PIPERIDINE PROPYLOXYPHENYL)ETHYLACETATE,Genome polyprotein,CCOC(=O)C1=CC=C(OCCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
(METHYLPYRIDAZINE PIPERIDINE PROPYLOXYPHENYL)ETHYLACETATE,Genome polyprotein,CCOC(=O)C1=CC=C(OCCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
"(Molybdopterin-S,S)-Dioxo-Thio-Molybdenum(V)","Sulfite oxidase, mitochondrial",NC1=NC2=C(N[C@@H]3[C@H](N2)O[C@@H](COP(O)(O)=O)C2=C3S[Mo](S)(=O)(=O)S2)C(=O)N1
(Mu-4-Sulfido)-Tetra-Nuclear Copper Ion,Oxidoreductase,[Cu]12[S@]34[Cu]5[Cu@]13[Cu@]245
(Mu-4-Sulfido)-Tetra-Nuclear Copper Ion,Nitrous-oxide reductase,[Cu]12[S@]34[Cu]5[Cu@]13[Cu@]245
(P-Iodophenylacetylamino)Methylphosphinic Acid,Beta-lactamase,[H][P@](O)(=O)CNC(=O)CC1=CC=C(I)C=C1
"(R)-(+) 5(9BH)-OXO-9B-PHENYL-2,3-DIHYDROTHIAZOLO[2,3-A]ISOINDOL-3-CARBOXYLIC ACID METHYL ESTER",Gag-Pol polyprotein,COC(=O)[C@@H]1CS[C@]2(N1C(=O)C1=CC=CC=C21)C1=CC=CC=C1
"(R)-(+)9B-(3-METHYL)PHENYL-2,3-DIHYDROTHIAZOLO[2,3-A]ISOINDOL-5(9BH)-ONE",Gag-Pol polyprotein,CC1=CC(=CC=C1)[C@]12SCCN1C(=O)C1=CC=CC=C21
"(R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)BENZYL)GUANIDINE",Coagulation factor XI,[H][C@@]1(CO)COB(O1)C1=CC=C(CNC(N)=N)C=C1
"(R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)PHENETHYL)GUANIDINE",Coagulation factor XI,[H][C@@]1(CO)COB(O1)C1=CC=C(CCNC(N)=N)C=C1
"(R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)PHENYL)GUANIDINE",Coagulation factor XI,[H][C@@]1(CO)COB(O1)C1=CC=C(NC(N)=N)C=C1
(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,Halohydrin dehalogenase,[H][C@](O)(CN=[N+]=[N-])C1=CC=C(C=C1)[N+]([O-])=O
(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,Galectin-9,[H][C@](O)(CN=[N+]=[N-])C1=CC=C(C=C1)[N+]([O-])=O
(R)-1-phenylethanol,R-specific alcohol dehydrogenase,C[C@@H](O)C1=CC=CC=C1
(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE,Rhomboid protease GlpG,[H][C@@](COC(=O)CCCC)(COP(O)(O)=O)OC=O
(R)-2-Hydroxy-3-Sulfopropanoic Acid,Probable 2-phosphosulfolactate phosphatase,O[C@@H](CS(O)(=O)=O)C(O)=O
(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,Androgen receptor,C[C@](O)(CBr)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
(R)-4-Nitrostyrene oxide,Halohydrin dehalogenase,[O-][N+](=O)C1=CC=C(C=C1)[C@@H]1CO1
(R)-Atenolol,Lactotransferrin,CC(C)NC[C@@H](O)COC1=CC=C(CC(N)=O)C=C1
(R)-Atenolol,Group IIE secretory phospholipase A2,CC(C)NC[C@@H](O)COC1=CC=C(CC(N)=O)C=C1
(R)-Bicalutamide,Androgen receptor,C[C@](O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
(R)-Fluoxetine,Transporter,CNCC[C@@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
(R)-Mandelic acid,Benzoylformate decarboxylase,O[C@@H](C(O)=O)C1=CC=CC=C1
(R)-Mandelic acid,Mandelate racemase,O[C@@H](C(O)=O)C1=CC=CC=C1
(R)-N-(1-Methyl-Hexyl)-Formamide,Alcohol dehydrogenase 1C,CCCCC[C@H](C)NC=O
(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,Carbonic anhydrase 2,[H]N([H])S(=O)(=O)C1=CC=C(C=C1)C(=O)N([H])C[C@@H](C)CN1C=CC2=CC=CC=C12
(R)-Propylene glycol,Isocitrate dehydrogenase [NADP],C[C@@H](O)CO
(R)-Propylene glycol,Lysozyme C,C[C@@H](O)CO
(R)-Rolipram,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",[H][C@]1(CNC(=O)C1)C1=CC(OC2CCCC2)=C(OC)C=C1
(R)-Rolipram,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",[H][C@]1(CNC(=O)C1)C1=CC(OC2CCCC2)=C(OC)C=C1
(R)-TRANS-4-(1-AMINOETHYL)-N-(4-PYRIDYL) CYCLOHEXANECARBOXAMIDE,cAMP-dependent protein kinase catalytic subunit alpha,[H][C@](C)(N)[C@@]1([H])CC[C@@]([H])(CC1)C(=O)NC1=CC=NC=C1
(R)-TRANS-4-(1-AMINOETHYL)-N-(4-PYRIDYL) CYCLOHEXANECARBOXAMIDE,cAMP-dependent protein kinase inhibitor alpha,[H][C@](C)(N)[C@@]1([H])CC[C@@]([H])(CC1)C(=O)NC1=CC=NC=C1
(R)-TRANS-4-(1-AMINOETHYL)-N-(4-PYRIDYL) CYCLOHEXANECARBOXAMIDE,Rho-associated protein kinase 1,[H][C@](C)(N)[C@@]1([H])CC[C@@]([H])(CC1)C(=O)NC1=CC=NC=C1
(R)-TRANS-4-(1-AMINOETHYL)-N-(4-PYRIDYL) CYCLOHEXANECARBOXAMIDE,Rho-associated protein kinase 2,[H][C@](C)(N)[C@@]1([H])CC[C@@]([H])(CC1)C(=O)NC1=CC=NC=C1
(R)-minalrestat,Aldose reductase,[H]N1C(=O)C[C@@]2(C1=O)C(=O)N(CC1=C(F)C=C(Br)C=C1)C(=O)C1=C2C=C(F)C=C1
(R)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol,Leukotriene A-4 hydrolase,[H][C@](O)(C1=CC=NC=C1)C1=CC=C(OCCN2CCCC2)C=C1
(R)-tacrine(10)-hupyridone,Acetylcholinesterase,O=C1NC2=C(C=C1)[C@@H](CCC2)NCCCCCCCCCCNC1=C2CCCCC2=NC2=CC=CC=C12
(R)—N[2-[1-(aminoiminomethyl)-3-piperidinyl]-1-oxoethyl]-4-(phenylethynyl)-l-phenylalanine methylester,Interleukin-2,[H][C@@](CC1=CC=C(C=C1)C#CC1=CC=CC=C1)(N=C(O)C[C@@]1([H])CCCN(C1)C(N)=N)C(=O)OC
"(R,R)-2,3-Butanediol",Ubiquitin-conjugating enzyme E2 D2,C[C@@H](O)[C@H](C)O
"(RP,SP)-O-(2R)-(1-PHENOXYBUT-2-YL)-METHYLPHOSPHONIC ACID CHLORIDE",Lipase,[H][C@@](CC)(COC1=CC=CC=C1)O[P@](C)(Cl)=O
(S)-(+)-2-[4-(FLUOROBENZYLOXY-BENZYLAMINO)PROPIONAMIDE],Amine oxidase [flavin-containing] B,[H][C@@](C)(\N=C\C1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O
(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,cAMP-dependent protein kinase catalytic subunit alpha,[H][C@](N)(C1=CC=CC=C1)C1=CC=C(C=C1)C1=C2N=CNC2=NC=N1
(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,cAMP-dependent protein kinase inhibitor alpha,[H][C@](N)(C1=CC=CC=C1)C1=CC=C(C=C1)C1=C2N=CNC2=NC=N1
"(S)-2-((S)-3-ISOBUTYL-2,5-DIOXO-4-QUINOLIN-3-YLMETHYL-[1,4]DIAZEPAN-1YL)-N-METHYL-3-NAPHTALEN-2-YL-PROPIONAMIDE",Integrin alpha-L,[H][C@@](CC1=CC2=CC=CC=C2C=C1)(N1CCC(=O)N(CC2=CC3=CC=CC=C3N=C2)[C@@]([H])(CC(C)C)C1=O)C(O)=NC
(S)-2-(MERCAPTOMETHYL)-5-PHENYLPENTANOIC ACID,Class B carbapenemase VIM-2,[H][C@](CS)(CCCC1=CC=CC=C1)C(O)=O
(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,Peptide deformylase,[H][C@@](CC(C)C)(NC(=O)[C@]([H])(CCCC)OP(O)(O)=O)C(=O)NC1=CC=C(C=C1)[N+]([O-])=O
"(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid",Glutamate receptor 2,N[C@@H](CN1C2=C(CCC2)C(=O)NC1=O)C(O)=O
"(S)-2-Amino-4-[(2s,3r)-2,3,5-Trihydroxy-4-Oxo-Pentyl]Mercapto-Butyric Acid",S-ribosylhomocysteine lyase,[H][C@](N)(CCSC[C@@]([H])(O)[C@@]([H])(O)C(=O)CO)C(O)=O
"(S)-2-CHLORO-N-(1-(2-(2-HYDROXYETHYLAMINO)-2-OXOETHYL)-2-OXO-1,2,3,4-TETRAHYDROQUINOLIN-3-YL)-6H-THIENO[2,3-B]PYRROLE-5-CARBOXAMIDE","Glycogen phosphorylase, muscle form",[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE,cAMP-dependent protein kinase catalytic subunit alpha,[H][C@]1(C)CNCCCN1S(=O)(=O)C1=C2C(C)=CN=CC2=CC=C1
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE,cAMP-dependent protein kinase inhibitor alpha,[H][C@]1(C)CNCCCN1S(=O)(=O)C1=C2C(C)=CN=CC2=CC=C1
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE,Rho-associated protein kinase 1,[H][C@]1(C)CNCCCN1S(=O)(=O)C1=C2C(C)=CN=CC2=CC=C1
"(S)-2-[(R)-3-amino-4-(2-fluorophenyl)butyryl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide",Dipeptidyl peptidase 4,[H][C@](N)(CC(=O)N1CC2=CC=CC=C2C[C@@]1([H])C(N)=O)CC1=CC=CC=C1F
(S)-2-{Methyl-[2-(Naphthalene-2-Sulfonylamino)-5-(Naphthalene-2-Sulfonyloxy)-Benzoyl]-Amino}-Succinicacid,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,[H][C@@](CC(O)=O)(N(C)C(=O)C1=C(NS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C=CC(OS(=O)(=O)C2=CC3=CC=CC=C3C=C2)=C1)C(O)=O
(S)-3-(4-(2-Carbazol-9-Yl-Ethoxy)-Phenyl)-2-Ethoxy-Propionic Acid,Peroxisome proliferator-activated receptor gamma,[H][C@@](CC1=CC=C(OCCN2C3=C(C=CC=C3)C3=C2C=CC=C3)C=C1)(OCC)C(O)=O
(S)-4-Nitrostyrene oxide,"2,3-dichloro-1-propanol dehalogenase",[O-][N+](=O)C1=CC=C(C=C1)[C@H]1CO1
(S)-4-bromo-3-hydroxy-3-methylbutyl diphosphate,Isopentenyl-diphosphate Delta-isomerase,C[C@@](O)(CBr)CCOP(O)(=O)OP(O)(O)=O
(S)-5-(4-Benzyloxy-Phenyl)-4-(7-Phenyl-Heptanoylamino)-Pentanoic Acid,"Phospholipase A2, membrane associated",[H][C@](CCC(O)=O)(CC1=CC=C(OCC2=CC=CC=C2)C=C1)N=C(O)CCCCCCC1=CC=CC=C1
"(S)-5-(7-(4-(4-Ethyl-4,5-dihydro-2-oxazolyl)phenoxy)heptyl)-3-methylisoxazole",Genome polyprotein,CC[C@H]1COC(=N1)C1=CC=C(OCCCCCCCC2=CC(C)=NO2)C=C1
(S)-AMPA,Glutamate receptor 2,CC1=C(C[C@H](N)C(O)=O)C(O)=NO1
(S)-DES-ME-AMPA,Glutamate receptor 2,N[C@@H](CC1=CONC1=O)C(O)=O
(S)-Fluoxetine,Transporter,CNCC[C@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
(S)-Hmg-Coa,3-hydroxy-3-methylglutaryl-coenzyme A reductase,[H][C@](O)(C([O-])=NCCC([O-])=NCCSC(=O)C[C@@](C)(O)CC([O-])=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O
(S)-Hmg-Coa,3-hydroxy-3-methylglutaryl-coenzyme A reductase,[H][C@](O)(C([O-])=NCCC([O-])=NCCSC(=O)C[C@@](C)(O)CC([O-])=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O
(S)-Hmg-Coa,3-hydroxy-3-methylglutaryl CoA synthase,[H][C@](O)(C([O-])=NCCC([O-])=NCCSC(=O)C[C@@](C)(O)CC([O-])=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O
(S)-Mandelic acid,Mandelate racemase,O[C@H](C(O)=O)C1=CC=CC=C1
(S)-N-(1-(3-CHLORO-4-FLUOROPHENYL)-2-HYDROXYETHYL)-4-(4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE,Mitogen-activated protein kinase 1,[H][C@](CO)(NC(=O)C1=CC(=CN1)C1=NNC=C1C1=CC=CC(Cl)=C1)C1=CC(Cl)=C(F)C=C1
(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,Carbonic anhydrase 2,[H]N([H])S(=O)(=O)C1=CC=C(C=C1)C(=O)N([H])C[C@H](C)CN1C=CC2=CC=CC=C12
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide,Trypsin-1,[H][C@]1(CCCN1C(=O)CNC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide,Prothrombin,[H][C@]1(CCCN1C(=O)CNC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide,Trypsin-1,[H][C@]1(CCCN1C(=O)COC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide,Prothrombin,[H][C@]1(CCCN1C(=O)COC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide,Trypsin-1,[H][C@]1(CCCN1C(=O)CNC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide,Prothrombin,[H][C@]1(CCCN1C(=O)CNC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide,Trypsin-1,[H][C@]1(CCCN1C(=O)COC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide,Prothrombin,[H][C@]1(CCCN1C(=O)COC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide,Trypsin-1,[H][C@]1(CCCN1C(=O)CCC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide,Prothrombin,[H][C@]1(CCCN1C(=O)CCC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide,Trypsin-1,[H][C@]1(CCCN1C(=O)CCC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide,Prothrombin,[H][C@]1(CCCN1C(=O)CCC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
(S)-Rolipram,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",[H][C@@]1(CNC(=O)C1)C1=CC=C(OC)C(OC2CCCC2)=C1
(S)-Rolipram,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",[H][C@@]1(CNC(=O)C1)C1=CC=C(OC)C(OC2CCCC2)=C1
(S)-atrolactic acid,Mandelate racemase,CC(O)(C(O)=O)C1=CC=CC=C1
(S)-blebbistatin,Myosin-14,CC1=CC=C2N=C3N(CC[C@@]3(O)C(=O)C2=C1)C1=CC=CC=C1
(S)-camphor,Transient receptor potential cation channel subfamily V member 1,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
(S)-camphor,Transient receptor potential cation channel subfamily V member 3,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
(S)-camphor,Transient receptor potential cation channel subfamily A member 1,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
(S)-camphor,Transient receptor potential cation channel subfamily M member 8,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
(S)-oxalosuccinic acid,Isocitrate dehydrogenase [NADP],[H][C@@](CC(O)=O)(C(O)=O)C(=O)C(O)=O
"(S)-propane-1,2-diol",Isocitrate dehydrogenase [NADP],C[C@H](O)CO
"(S)-propane-1,2-diol",Sigma factor SigB regulation protein RsbQ,C[C@H](O)CO
(S)-tacrine(10)-hupyridone,Acetylcholinesterase,O=C1NC2=C(C=C1)[C@H](CCC2)NCCCCCCCCCCNC1=C2CCCCC2=NC2=CC=CC=C12
(S)-wiskostatin,Wiskott-Aldrich syndrome protein,[H][C@](O)(CN(C)C)CN1C2=CC=C(Br)C=C2C2=C1C=CC(Br)=C2
"(S,R)-fidarestat",Aldose reductase,[H][C@]1(C[C@@]2(N=C(O)N=C2O)C2=C(O1)C=CC(F)=C2)C(O)=N
(South)-Methanocarba-Thymidine,Thymidine kinase,CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2
(TERT-BUTYLOXYCARBONYL)-ALANYL-AMINO ETHYL-FORMAMIDE,Chymotrypsin-like elastase family member 1,[H][C@](C)(NC=O)NC(=O)[C@]([H])(C)NC(=O)OC(C)(C)C
(Tert-Butyloxycarbonyl)-Alanyl-Alanyl-Amine,Chymotrypsin-like elastase family member 1,[H][C@@](C)(N=C(O)[C@]([H])(C)N=C(O)OC(C)(C)C)C(O)=N
(Z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide,Protein S100-B,CN1CCN(CC1)C1=C(C\N=N/C(N)=S)C=CC=C1
(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE,Glycylpeptide N-tetradecanoyltransferase 2,OC1=C(\C=C2/SC(=S)N(CC3=CC=CC=C3)C2=O)C=CC=C1[N+]([O-])=O
"(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide",Phosphatidylinositol transfer protein alpha isoform,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
({3-[1-(4-HYDROXY-2-OXO-2H-CHROMEN-3-YL)-PROPYL]-PHENYLCARBAMOYL}-METHYL)-CARBAMIC ACID TERT-BUTYL ESTER,Gag-Pol polyprotein,[H][C@](CC)(C1=CC=CC(NC(=O)CNC(=O)OC(C)(C)C)=C1)C1=C(O)C2=CC=CC=C2OC1=O
"({[(3E)-2'-OXO-2',7'-DIHYDRO-2,3'-BIINDOL-3(7H)-YLIDENE]AMINO}OXY)ACETIC ACID","Glycogen phosphorylase, muscle form",OC(=O)CO\N=C1/C2=CC=CCC2=N/C/1=C1\C(=O)N=C2CC=CC=C12
+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE,Trypsin-1,[H][C@](CCC1=CC=C(C=C1)C(N)=N)(CC(=O)OC)C1=CC=CC(=C1)C(N)=N
1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID,Beta-lactamase TEM,[H][C@@](CC1=CC=CC(C(O)=O)=C1O)(NC(C)=O)B(O)O
1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid,Beta-lactamase TEM,[H][C@@](CC1=CC=CC(=C1)C(O)=O)(NC(C)=O)B(O)O
1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid,Beta-lactamase TEM,[H][C@@](CC1=CC=CC(=C1)C(O)=O)(NC(C)=O)B(O)O
"1,1'-BIPHENYL-2-SULFINIC ACID",2'-hydroxybiphenyl-2-sulfinate desulfinase,O[S@@](=O)C1=CC=CC=C1C1=CC=CC=C1
"1,1'-BIPHENYL-3,4-DIOL","1,2-dihydroxynaphthalene dioxygenase",OC1=C(O)C=C(C=C1)C1=CC=CC=C1
"1,1'-HEXANE-1,6-DIYLBIS(1H-IMIDAZOLE)",Azurin,C(CCCN1C=CN=C1)CCN1C=CN=C1
"1,1,1,3,3,3-HEXAFLUORO-2-{4-[(2,2,2-TRIFLUOROETHYL)AMINO]PHENYL}PROPAN-2-OL",Oxysterols receptor LXR-beta,OC(C1=CC=C(NCC(F)(F)F)C=C1)(C(F)(F)F)C(F)(F)F
"1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)",Chymotrypsinogen B,[H][C@@](CC(C)C)(NC(C)=O)C(=O)N[C@@]([H])(CC1=CC=CC=C1)C(=O)C(F)(F)F
"1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE",Putative inactive carboxylesterase 4,CCCCCCCCSCC(=O)C(F)(F)F
"1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)",Chymotrypsinogen B,[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(=O)C(F)(F)F
"1,10-Phenanthroline",Methyl-accepting chemotaxis protein II,C1=CC2=CC=C3C=CC=NC3=C2N=C1
"1,10-Phenanthroline",Metallo-beta-lactamase L1,C1=CC2=CC=C3C=CC=NC3=C2N=C1
"1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide",Phenylethanolamine N-methyltransferase,NS(=O)(=O)C1=CC2=C(CCNC2)C=C1
"1,2,3-TRIHYDROXY-1,2,3,4-TETRAHYDROBENZO[A]PYRENE",DNA polymerase kappa,[H][C@@]1(O)CC2=C3C=CC4=CC=CC5=CC=C(C=C2[C@@]([H])(O)[C@]1([H])O)C3=C45
